CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.6951115;-38.13080360867914
1739209828.6951191;-45.120503652039325
1739209828.6951265;-35.57807855764607
1739209828.6951342;-45.120503652039325
1739209828.6951418;-45.120503652039325
1739209828.6951492;-38.13080360867914
1739209828.6951568;-35.57807855764607
1739209828.6951644;-45.120503652039325
1739209828.6951718;-26.991370085610736
1739209828.6951795;-28.21854285175415
1739209828.695187;-38.13080360867914
1739209828.6951945;-45.120503652039325
1739209828.695202;-32.816014438256545
1739209828.6952097;-38.13080360867914
1739209828.6952171;-45.120503652039325
1739209828.6952248;-38.13080360867914
1739209828.6952324;-45.120503652039325
1739209828.69524;-45.120503652039325
1739209828.6952474;-45.120503652039325
1739209828.695255;-45.120503652039325
1739209828.6952627;-45.120503652039325
1739209828.69527;-45.120503652039325
1739209828.6952777;-38.13080360867914
1739209828.6952853;-45.120503652039325
1739209828.6952927;-38.13080360867914
1739209828.6953003;-38.13080360867914
1739209828.695308;-33.981070128970906
1739209828.6953154;-35.57807855764607
1739209828.695323;-38.13080360867914
1739209828.6953306;-33.981070128970906
1739209828.695338;-38.13080360867914
1739209828.6953456;-38.13080360867914
1739209828.6953533;-38.13080360867914
1739209828.6953607;-45.120503652039325
1739209828.6953683;-45.120503652039325
1739209828.695376;-45.120503652039325
1739209828.6953833;-45.120503652039325
1739209828.695391;-45.120503652039325
1739209828.6953986;-45.120503652039325
1739209828.6954062;-33.981070128970906
1739209828.6954136;-45.120503652039325
1739209828.6954212;-38.13080360867914
1739209828.6954288;-45.120503652039325
1739209828.6954362;-38.13080360867914
1739209828.6954439;-45.120503652039325
